Year,Job_vacancy_rate,real_wage_growth,,,,
Aug-17,2.6,-0.4,,,,
Sep-17,2.6,0.1,,,,
Oct-17,2.7,-0.4,,,,
Nov-17,2.7,-0.5,,,,
Dec-17,2.7,0.4,,,,
Jan-18,2.7,-0.1,,,,
Feb-18,2.8,0.2,,,,
Mar-18,2.7,0.9,,,,
Apr-18,2.7,0,,,,
May-18,2.7,0.2,,,,
Jun-18,2.7,-0.2,,,,
Jul-18,2.8,1,,,,
Aug-18,2.8,0.8,,,,
Sep-18,2.8,0.6,,,,
Oct-18,2.8,1.9,,,,
Nov-18,2.9,1.1,,,,
Dec-18,2.9,1.2,,,,
Jan-19,2.8,1.9,,,,
Feb-19,2.9,1.7,,,,
Mar-19,2.8,0.6,,,,
Apr-19,2.8,2,,,,
May-19,2.8,2,,,,
Jun-19,2.7,1.9,,,,
Jul-19,2.7,2.1,,,,
Aug-19,2.7,1.5,,,,
Sep-19,2.7,2.4,,,,
Oct-19,2.7,0.9,,,,
Nov-19,2.7,1.6,,,,
Dec-19,2.6,1.3,,,,
Jan-20,2.7,1.3,,,,
Feb-20,2.7,1,,,,
Mar-20,2.7,-0.2,,,,
Apr-20,2.6,-2,,,,
May-20,2.1,-2,,,,
Jun-20,1.6,-2.2,,,,
Jul-20,1.1,-1.3,,,,
Aug-20,1.2,1.6,,,,
Sep-20,1.4,1.3,,,,
Oct-20,1.6,3.1,,,,
Nov-20,1.8,4.8,,,,
Dec-20,1.8,3.9,,,,
Jan-21,2,3.7,,,,
Feb-21,2.1,3.3,,,,
Mar-21,2.1,2.9,,,,
Apr-21,2.1,7.8,,,,
May-21,2.2,7.1,,,,
Jun-21,2.5,6.3,,,,
Jul-21,2.8,5.4,,,,
Aug-21,3.2,2.8,,,,
Sep-21,3.5,2.2,,,,
Oct-21,3.7,0.6,,,,
Nov-21,3.9,-0.9,,,,
Dec-21,4,1,,,,
Jan-22,4.1,0.4,,,,
Feb-22,4.1,0.3,,,,
Mar-22,4.2,3.6,,,,
Apr-22,4.2,-2.5,,,,
May-22,4.3,-3.2,,,,
Jun-22,4.3,-1.7,,,,
Jul-22,4.2,-2.7,,,,
Aug-22,4.2,-2.4,,,,
Sep-22,4.1,-2.6,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
